iter	Passed	Remaining
0	1	125
1	2	119
2	3	118
3	5	121
4	6	122
5	7	118
6	8	116
7	9	114
8	11	112
9	12	110
10	14	113
11	15	112
12	16	110
13	17	108
14	18	106
15	20	105
16	21	103
17	22	102
18	23	100
19	24	98
20	25	97
21	27	95
22	28	94
23	30	95
24	31	93
25	32	92
26	33	91
27	34	89
28	36	88
29	37	86
30	38	85
31	39	84
32	40	82
33	42	81
34	43	80
35	44	79
36	46	79
37	47	78
38	49	77
39	50	75
40	51	74
41	52	73
42	54	71
43	55	70
44	56	68
45	57	67
46	59	66
47	60	65
48	61	63
49	63	63
50	64	61
51	65	60
52	66	59
53	68	57
54	69	56
55	70	55
56	71	53
57	72	52
58	74	51
59	76	50
60	77	49
61	78	48
62	79	46
63	80	45
64	82	44
65	83	43
66	84	41
67	86	40
68	87	39
69	90	38
70	91	37
71	93	36
72	94	35
73	96	33
74	97	32
75	99	31
76	100	30
77	101	28
78	103	27
79	105	26
80	106	25
81	107	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	116	14
89	118	13
90	119	11
91	121	10
92	123	9
93	124	7
94	125	6
95	127	5
96	128	3
97	129	2
98	130	1
99	131	0
